Name,Latitude,Longitude,Description,Type
Unnamed Bicycle Parking,1.3256701,103.7520682,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.462831,103.8383655,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.275832,103.7926681,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3027965,103.8307909,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.318734,103.7493879,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.320715,103.7496836,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3192732,103.749756,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.3358403,103.7813165,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3345641,103.7813761,"Capacity: 4, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.3126491,103.7945083,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.2983762,103.8500906,"Capacity: 10, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.2987097,103.8501148,"Capacity: Unknown Capacity, Covered: no",Bicycle Parking
Unnamed Bicycle Parking,1.4077297,103.7811054,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4079697,103.7817679,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4084403,103.7809753,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
Unnamed Bicycle Parking,1.4573627,103.8222173,"Capacity: Unknown Capacity, Covered: Unknown",Bicycle Parking
